http://www.datasciencecentral.com/profiles/blogs/check-out-our-dsc-newsletter:like 18,view 208817, facebook 0
http://www.datasciencecentral.com/profiles/blogs/quantifying-the-value-of-a-nosql-project:like 1,view 574, facebook 0
http://www.datasciencecentral.com/profiles/blogs/bi-invades-hr-how-analytics-are-transforming-the-hiring-process:like 2,view 1092, facebook 0
http://www.datasciencecentral.com/profiles/blogs/bottom-line-on-data-visualization:like 0,view 1927, facebook 0
http://www.datasciencecentral.com/profiles/blogs/weekly-digest-october-20:like 2,view 829, facebook 0
http://www.datasciencecentral.com/profiles/blogs/on-the-role-of-big-data-in-international-development:like 2,view 676, facebook 0
http://www.datasciencecentral.com/profiles/blogs/is-data-science-a-new-paradigm-or-recycled-material:like 5,view 2739, facebook 0
http://www.datasciencecentral.com/profiles/blogs/pervasive-analytics-winning-the-global-data-rush:like 0,view 393, facebook 0
http://www.datasciencecentral.com/profiles/blogs/q-a-andy-stanford-clark-on-iot-part-1:like 0,view 175, facebook 0
http://www.datasciencecentral.com/profiles/blogs/2-d-random-walks-simulation-video-with-r-source-code-curious-fact:like 1,view 5741, facebook 0
http://www.datasciencecentral.com/profiles/blogs/dark-art-of-warping:like 0,view 693, facebook 0
http://www.datasciencecentral.com/profiles/blogs/enhancing-compliance-oprisk-management-through-analytics:like 0,view 168, facebook 0
http://www.datasciencecentral.com/profiles/blogs/popular-predictive-apps-and-apis:like 0,view 2571, facebook 0
http://www.datasciencecentral.com/profiles/blogs/startups-innovating-data-science-platforms:like 3,view 1681, facebook 0
http://www.datasciencecentral.com/profiles/blogs/weekly-digest-october-13:like 0,view 800, facebook 0
http://www.datasciencecentral.com/profiles/blogs/the-value-of-accuracy-in-predictive-analytics:like 2,view 1602, facebook 0
http://www.datasciencecentral.com/profiles/blogs/experts-debate-building-the-next-big-app-part-3:like 0,view 87, facebook 0
http://www.datasciencecentral.com/profiles/blogs/experts-debate-building-the-next-big-app-part-2:like 0,view 151, facebook 0
http://www.datasciencecentral.com/profiles/blogs/experts-debate-building-the-next-big-app-part-1:like 0,view 159, facebook 0
http://www.datasciencecentral.com/profiles/blogs/conrad-wolfram-talks-data-and-democracy-at-the-tedx-houses-of:like 1,view 79, facebook 0
http://www.datasciencecentral.com/profiles/blogs/200-top-bloggers-on-data-science-central:like 3,view 3409, facebook 0
http://www.datasciencecentral.com/profiles/blogs/unraveling-real-time-predictive-analytics:like 5,view 2619, facebook 0
http://www.datasciencecentral.com/profiles/blogs/can-historical-data-save-olive-garden-from-its-2008-erosion:like 1,view 171, facebook 0
http://www.datasciencecentral.com/profiles/blogs/cloud-based-analytics-service-future-of-analytics:like 0,view 700, facebook 0
http://www.datasciencecentral.com/profiles/blogs/do-you-know-what-is-bigger-than-big-data:like 0,view 2251, facebook 0
http://www.datasciencecentral.com/profiles/blogs/to-build-a-mel-you-need-a-private-detective:like 4,view 215, facebook 0
http://www.datasciencecentral.com/profiles/blogs/ebola-death-cases-admitted-recovered-cases:like 1,view 641, facebook 0
http://www.datasciencecentral.com/profiles/blogs/top-30-dsc-blogs-based-on-new-scoring-technology:like 3,view 4694, facebook 0
http://www.datasciencecentral.com/profiles/blogs/is-data-science-bad-at-detecting-bogus-amazon-or-yelp-reviews:like 1,view 1252, facebook 0
http://www.datasciencecentral.com/profiles/blogs/optimizing-disease-management-programs-using-predictive-modeling:like 1,view 702, facebook 0
http://www.datasciencecentral.com/profiles/blogs/weekly-digest-october-6:like 1,view 854, facebook 0
http://www.datasciencecentral.com/profiles/blogs/the-data-scientist-buble-has-started-to-explode:like 10,view 16937, facebook 0
http://www.datasciencecentral.com/profiles/blogs/the-22-skills-of-a-data-scientist:like 6,view 8723, facebook 0
http://www.datasciencecentral.com/profiles/blogs/elements-of-machine-learning:like 0,view 6307, facebook 0
http://www.datasciencecentral.com/profiles/blogs/more-about-shifting-culture-less-about-investing-in-potential:like 1,view 194, facebook 0
http://www.datasciencecentral.com/profiles/blogs/new-beginnings-in-facial-recognition:like 1,view 430, facebook 0
http://www.datasciencecentral.com/profiles/blogs/keeping-corporate-data-safe-5-ways-lax-byod-policies-create:like 0,view 123, facebook 0
http://www.datasciencecentral.com/profiles/blogs/apache-spark-distributed-data-processing-faster-than-hadoop:like 0,view 2091, facebook 0
http://www.datasciencecentral.com/profiles/blogs/data-instrumentalism:like 0,view 236, facebook 0
http://www.datasciencecentral.com/profiles/blogs/hadoop-is-dead-dataflow-is-alive:like 2,view 4055, facebook 0
http://www.datasciencecentral.com/profiles/blogs/decipher-neo4j-cypher-query-language-cql:like 0,view 132, facebook 0
http://www.datasciencecentral.com/profiles/blogs/embrace-relationships-with-neo4j-r-java:like 0,view 939, facebook 0
http://www.datasciencecentral.com/profiles/blogs/how-tracking-analytics-can-improve-content-marketing:like 0,view 636, facebook 0
http://www.datasciencecentral.com/profiles/blogs/weekly-digest-september-29:like 0,view 510, facebook 0
http://www.datasciencecentral.com/profiles/blogs/caveat-data-scientist-public-trust-low-for-science:like 1,view 457, facebook 0
http://www.datasciencecentral.com/profiles/blogs/skos-as-a-key-element-in-enterprise-linked-data-strategies:like 0,view 161, facebook 0
http://www.datasciencecentral.com/profiles/blogs/top-2-500-websites-not-containing-seed-keywords:like 0,view 164, facebook 0
http://www.datasciencecentral.com/profiles/blogs/top-2-500-websites-not-crawlable:like 0,view 202, facebook 0
http://www.datasciencecentral.com/profiles/blogs/top-2-500-websites-mentioned-a-few-times-page-2:like 0,view 187, facebook 0
http://www.datasciencecentral.com/profiles/blogs/top-2-500-websites-mentioned-a-few-times:like 0,view 165, facebook 0
http://www.datasciencecentral.com/profiles/blogs/top-2-500-websites-mentioned-a-few-times-page-1:like 0,view 217, facebook 0
http://www.datasciencecentral.com/profiles/blogs/top-2-500-websites-top-of-the-top:like 2,view 5137, facebook 0
http://www.datasciencecentral.com/profiles/blogs/preliminary-findings-zipf-s-law:like 0,view 521, facebook 0
http://www.datasciencecentral.com/profiles/blogs/big-data-is-stupid-data:like 0,view 0, facebook 0
http://www.datasciencecentral.com/profiles/blogs/is-byod-momentum-fading:like 0,view 299, facebook 0
http://www.datasciencecentral.com/profiles/blogs/weekly-digest-september-22:like 1,view 507, facebook 0
http://www.datasciencecentral.com/profiles/blogs/what-are-analytic-marketplaces:like 0,view 730, facebook 0
http://www.datasciencecentral.com/profiles/blogs/defining-big-data:like 1,view 4005, facebook 0
http://www.datasciencecentral.com/profiles/blogs/top-cities-and-other-demographics-for-data-scientists:like 5,view 7031, facebook 0
http://www.datasciencecentral.com/profiles/blogs/how-big-data-is-revolutionizing-real-estate:like 0,view 1962, facebook 0
http://www.datasciencecentral.com/profiles/blogs/lesson-9-making-your-selection-final-considerations:like 0,view 520, facebook 0
http://www.datasciencecentral.com/profiles/blogs/too-much-talk-in-analytics-too-little-action:like 3,view 2014, facebook 0
http://www.datasciencecentral.com/profiles/blogs/universal-data-model-a-really-different-look-at-data:like 0,view 1944, facebook 0
http://www.datasciencecentral.com/profiles/blogs/data-science-and-machine-learning-for-preventing-fraud-in-mom-and:like 0,view 911, facebook 0
http://www.datasciencecentral.com/profiles/blogs/big-data-technology-vendor-consolidation:like 2,view 3076, facebook 0
http://www.datasciencecentral.com/profiles/blogs/lesson-8-graph-databases:like 0,view 0, facebook 0
http://www.datasciencecentral.com/profiles/blogs/lesson-7-column-oriented-databases-aka-big-table-or-wide-column:like 1,view 795, facebook 0
http://www.datasciencecentral.com/profiles/blogs/gamification-realizing-elusive-engagement:like 2,view 1220, facebook 0
http://www.datasciencecentral.com/profiles/blogs/weekly-digest-september-15:like 0,view 847, facebook 0
http://www.datasciencecentral.com/profiles/blogs/island-of-games-puzzle-problem-statement:like 0,view 1663, facebook 0
http://www.datasciencecentral.com/profiles/blogs/top-10-capabilities-for-exploring-complex-relationships-in-data:like 1,view 2426, facebook 0
http://www.datasciencecentral.com/profiles/blogs/lesson-6-document-oriented-databases:like 0,view 894, facebook 0
http://www.datasciencecentral.com/profiles/blogs/the-month-in-data-science:like 1,view 1017, facebook 0
http://www.datasciencecentral.com/profiles/blogs/lesson-5-key-value-stores-aka-tuple-stores:like 0,view 830, facebook 0
http://www.datasciencecentral.com/profiles/blogs/lesson-4-features-common-to-most-nosql-newsql-databases:like 0,view 998, facebook 0
http://www.datasciencecentral.com/profiles/blogs/the-poisson-pill-just-what-if-we-can-go-beyond-the-what-ifs:like 0,view 993, facebook 0
http://www.datasciencecentral.com/profiles/blogs/lesson-3-open-source-distribution-or-suite:like 1,view 721, facebook 0
http://www.datasciencecentral.com/profiles/blogs/weekly-digest-september-8:like 0,view 434, facebook 0
http://www.datasciencecentral.com/profiles/blogs/announcing-the-winner-of-our-second-competition-jackknife-regress:like 0,view 1244, facebook 0
http://www.datasciencecentral.com/profiles/blogs/9-lessons-picking-the-right-nosql-tools:like 2,view 4129, facebook 0
http://www.datasciencecentral.com/profiles/blogs/lesson-2-nosql-databases-are-good-for-everything-except-maybe:like 0,view 1403, facebook 0
http://www.datasciencecentral.com/profiles/blogs/are-you-a-data-scientist:like 10,view 4726, facebook 0
http://www.datasciencecentral.com/profiles/blogs/six-thinking-hats-and-the-life-of-a-data-scientist:like 4,view 1928, facebook 0
http://www.datasciencecentral.com/profiles/blogs/the-shifting-cxo-crowns-and-the-changing-analytics-leadership:like 0,view 297, facebook 0
http://www.datasciencecentral.com/profiles/blogs/the-awkward-road:like 0,view 417, facebook 0
http://www.datasciencecentral.com/profiles/blogs/making-d3-js-reusable-with-templates:like 0,view 2002, facebook 0
http://www.datasciencecentral.com/profiles/blogs/frozen-versus-liquid-analytic-or-the-competitive-advantage-of-dat:like 4,view 1343, facebook 0
http://www.datasciencecentral.com/profiles/blogs/33-unusual-problems-that-can-be-solved-with-data-science:like 4,view 9044, facebook 0
http://www.datasciencecentral.com/profiles/blogs/big-data-what-s-the-buzz-mean-beyond-the-hype:like 0,view 105, facebook 0
http://www.datasciencecentral.com/profiles/blogs/my-top-websites-for-big-data:like 4,view 4541, facebook 0
http://www.datasciencecentral.com/profiles/blogs/weekly-digest-september-1:like 0,view 583, facebook 0
http://www.datasciencecentral.com/profiles/blogs/how-to-become-a-data-scientist:like 24,view 25662, facebook 0
http://www.datasciencecentral.com/profiles/blogs/industrial-iot-analytics-5-levels-of-maturity:like 0,view 1987, facebook 0
http://www.datasciencecentral.com/profiles/blogs/using-a-synthetic-criterion-to-choose-the-right-variables-for-you:like 3,view 2246, facebook 0
http://www.datasciencecentral.com/profiles/blogs/crowdsourced-q-a-with-peter-norvig-on-data-science:like 1,view 1070, facebook 0
http://www.datasciencecentral.com/profiles/blogs/should-we-all-have-two-id-s-one-for-backup-purposes:like 0,view 118, facebook 0
http://www.datasciencecentral.com/profiles/blogs/data-scientists-by-education-2014:like 0,view 1410, facebook 0
http://www.datasciencecentral.com/profiles/blogs/protecting-data-with-data-predicting-cyber-threats-before-they:like 0,view 354, facebook 0
http://www.datasciencecentral.com/profiles/blogs/big-data-divide-the-challenge-of-a-modern-day-data-analytics:like 0,view 768, facebook 0
http://www.datasciencecentral.com/profiles/blogs/crazy-data-science-tutorial-classification-and-clustering:like 5,view 5307, facebook 0
http://www.datasciencecentral.com/profiles/blogs/the-most-expensive-data-science-textbook:like 1,view 2703, facebook 0
http://www.datasciencecentral.com/profiles/blogs/data-science-helps-businesses-to-become-data-driven:like 0,view 750, facebook 0
http://www.datasciencecentral.com/profiles/blogs/high-value-talent-analytics-projects-fishing-or-solving-business-:like 3,view 768, facebook 0
http://www.datasciencecentral.com/profiles/blogs/machine-learning-interview-with-spencer-greenberg-ceo-of-rebellio:like 0,view 2428, facebook 0
http://www.datasciencecentral.com/profiles/blogs/weekly-digest-august-25:like 1,view 222, facebook 0
http://www.datasciencecentral.com/profiles/blogs/the-promise-of-predictive-analytics-the-challenges-from-data:like 3,view 4036, facebook 0
http://www.datasciencecentral.com/profiles/blogs/bny-mellon-icici-bank-and-m-t-bank-are-lined-up-for-the-biggest:like 0,view 222, facebook 0
http://www.datasciencecentral.com/profiles/blogs/data-analysis-software-compared:like 1,view 3698, facebook 0
http://www.datasciencecentral.com/profiles/blogs/systemic-intelligence-prelude-to-a-universal-data-model:like 0,view 301, facebook 0
http://www.datasciencecentral.com/profiles/blogs/comparison-of-statistical-software:like 2,view 9873, facebook 0
http://www.datasciencecentral.com/profiles/blogs/wizard-of-oz-and-the-new-analytics-fairytale:like 1,view 638, facebook 0
http://www.datasciencecentral.com/profiles/blogs/types-and-uses-of-predictive-analytics-what-they-are-and-where:like 0,view 2818, facebook 0
http://www.datasciencecentral.com/profiles/blogs/weekly-digest-august-18:like 0,view 392, facebook 0
http://www.datasciencecentral.com/profiles/blogs/am-i-marketable:like 1,view 187, facebook 0
http://www.datasciencecentral.com/profiles/blogs/leveraging-predictive-analytics-to-avoid-a-major-point-of-hiring:like 0,view 627, facebook 0
http://www.datasciencecentral.com/profiles/blogs/black-box-confidence-intervals-excel-and-perl-implementations-det:like 10,view 13669, facebook 0
http://www.datasciencecentral.com/profiles/blogs/acid-concept-in-db:like 0,view 205, facebook 0
http://www.datasciencecentral.com/profiles/blogs/a-new-youtube-blog:like 0,view 1018, facebook 0
http://www.datasciencecentral.com/profiles/blogs/weekly-digest-august-11:like 0,view 387, facebook 0
http://www.datasciencecentral.com/profiles/blogs/20-big-data-opportunities-for-cfos-and-auditors:like 1,view 1786, facebook 0
http://www.datasciencecentral.com/profiles/blogs/5-signs-you-re-ready-for-a-data-warehousing-solution:like 0,view 897, facebook 0
http://www.datasciencecentral.com/profiles/blogs/your-data-science-portfolio-math-skills-don-t-matter:like 6,view 13678, facebook 0
http://www.datasciencecentral.com/profiles/blogs/your-data-science-portfolio-be-an-open-data-curator:like 0,view 2843, facebook 0
http://www.datasciencecentral.com/profiles/blogs/announcement-for-data-science-central-subscribers:like 8,view 877, facebook 0
http://www.datasciencecentral.com/profiles/blogs/data-science-cheat-sheet:like 48,view 73718, facebook 0
http://www.datasciencecentral.com/profiles/blogs/17-short-tutorials-all-data-scientists-should-read-and-practice:like 37,view 117462, facebook 0
http://www.datasciencecentral.com/profiles/blogs/origins-of-the-species:like 0,view 236, facebook 0
http://www.datasciencecentral.com/profiles/blogs/the-law-of-series-why-4-plane-crashing-in-6-months-is-a-coinciden:like 3,view 3226, facebook 0
http://www.datasciencecentral.com/profiles/blogs/five-expert-tips-to-bring-your-employee-churn-to-a-halt:like 0,view 374, facebook 0
http://www.datasciencecentral.com/profiles/blogs/difference-between-machine-learning-and-statistics:like 3,view 3954, facebook 0
http://www.datasciencecentral.com/profiles/blogs/big-data-for-cfos-auditors-and-other-finance-professionals:like 0,view 956, facebook 0
http://www.datasciencecentral.com/profiles/blogs/weekly-digest-august-4:like 0,view 571, facebook 0
http://www.datasciencecentral.com/profiles/blogs/how-self-service-bi-can-make-you-a-data-analyst:like 2,view 1717, facebook 0
http://www.datasciencecentral.com/profiles/blogs/cassandra-modeling-for-real-time-analytics:like 1,view 8882, facebook 0
http://www.datasciencecentral.com/profiles/blogs/word-clouds-of-big-data-data-science-and-other-buzz-words:like 5,view 5075, facebook 0
http://www.datasciencecentral.com/profiles/blogs/huge-trello-list-of-great-data-science-resources:like 4,view 5120, facebook 0
http://www.datasciencecentral.com/profiles/blogs/introduction-to-predictive-analytics-for-the-absolute-beginner:like 2,view 1687, facebook 0
http://www.datasciencecentral.com/profiles/blogs/17-analytic-disciplines-compared:like 39,view 55481, facebook 0
http://www.datasciencecentral.com/profiles/blogs/why-analysts-should-master-public-speaking:like 0,view 808, facebook 0
http://www.datasciencecentral.com/profiles/blogs/rants-from-an-under-paid-data-scientist:like 4,view 2656, facebook 0
http://www.datasciencecentral.com/profiles/blogs/weekly-digest-july-28:like 0,view 994, facebook 0
http://www.datasciencecentral.com/profiles/blogs/advanced-and-predictive-analytics-vendor-ratings-2014:like 1,view 1647, facebook 0
http://www.datasciencecentral.com/profiles/blogs/the-target-security-breach-what-happened-and-what-it-can-teach-us:like 0,view 1239, facebook 0
http://www.datasciencecentral.com/profiles/blogs/10-steps-for-big-data-projects:like 2,view 1543, facebook 0
http://www.datasciencecentral.com/profiles/blogs/beyond-the-4-ms-of-manufacturing-1:like 1,view 2298, facebook 0
http://www.datasciencecentral.com/profiles/blogs/banned-on-google-how-to-fight-eu-censorship:like 1,view 504, facebook 0
http://www.datasciencecentral.com/profiles/blogs/5-industries-that-need-big-data:like 0,view 3957, facebook 0
http://www.datasciencecentral.com/profiles/blogs/10-types-of-regressions-which-one-to-use:like 19,view 73298, facebook 0
http://www.datasciencecentral.com/profiles/blogs/social-media-for-app-capture-and-question-answering-in-open:like 0,view 43, facebook 0
http://www.datasciencecentral.com/profiles/blogs/common-pitfalls-that-can-doom-a-byod-program:like 0,view 453, facebook 0
http://www.datasciencecentral.com/profiles/blogs/can-a-50-person-startup-threaten-oracle-ibm-and-microsoft:like 1,view 3461, facebook 0
http://www.datasciencecentral.com/profiles/blogs/how-big-data-analytics-can-help-to-avoid-fx-rate-fixing-benchmark:like 1,view 660, facebook 0
http://www.datasciencecentral.com/profiles/blogs/an-ethics-framework-for-big-data:like 0,view 744, facebook 0
http://www.datasciencecentral.com/profiles/blogs/participation-in-data-and-the-effectiveness-of-intervention:like 0,view 100, facebook 0
http://www.datasciencecentral.com/profiles/blogs/this-just-in-how-big-data-is-changing-journalism:like 1,view 1701, facebook 0
http://www.datasciencecentral.com/profiles/blogs/the-fastest-growing-data-science-big-data-profiles-on-twitter:like 2,view 6170, facebook 0
http://www.datasciencecentral.com/profiles/blogs/top-data-scientists-on-twitter:like 4,view 5132, facebook 0
http://www.datasciencecentral.com/profiles/blogs/weekly-digest-july-21:like 0,view 746, facebook 0
http://www.datasciencecentral.com/profiles/blogs/15-interviews-with-15-data-scientists:like 3,view 4175, facebook 0
http://www.datasciencecentral.com/profiles/blogs/ensuring-success-of-early-modeling-initiatives:like 0,view 379, facebook 0
http://www.datasciencecentral.com/profiles/blogs/the-best-ways-to-segment-customer-data:like 5,view 2069, facebook 0
http://www.datasciencecentral.com/profiles/blogs/10-features-all-dashboards-should-have:like 0,view 7860, facebook 0
http://www.datasciencecentral.com/profiles/blogs/applications-of-big-data-in-customer-segmentation:like 4,view 3156, facebook 0
http://www.datasciencecentral.com/profiles/blogs/weekly-digest-july-14:like 0,view 383, facebook 0
http://www.datasciencecentral.com/profiles/blogs/bigquery-big-data-visualization-with-d3-js:like 0,view 2047, facebook 0
http://www.datasciencecentral.com/profiles/blogs/30-interesting-statistics-about-social-media:like 2,view 2104, facebook 0
http://www.datasciencecentral.com/profiles/blogs/25-data-scientists-popular-on-linkedin:like 1,view 7849, facebook 0
http://www.datasciencecentral.com/profiles/blogs/standardized-performance-friendly-to-big-data:like 0,view 292, facebook 0
http://www.datasciencecentral.com/profiles/blogs/beyond-the-visualization-zoo:like 2,view 4622, facebook 0
http://www.datasciencecentral.com/profiles/blogs/law-and-ethics-of-online-human-subject-experiments:like 0,view 451, facebook 0
http://www.datasciencecentral.com/profiles/blogs/weekly-digest-july-7:like 1,view 789, facebook 0
http://www.datasciencecentral.com/profiles/blogs/considerations-when-selecting-a-bi-vendor:like 0,view 864, facebook 0
http://www.datasciencecentral.com/profiles/blogs/35-books-on-data-visualization:like 1,view 5566, facebook 0
http://www.datasciencecentral.com/profiles/blogs/clustering-similar-images-using-mapreduce-style-feature:like 0,view 2979, facebook 0
http://www.datasciencecentral.com/profiles/blogs/grand-challenge-unified-visual-data-representation:like 0,view 864, facebook 0
http://www.datasciencecentral.com/profiles/blogs/weekly-digest-june-30:like 2,view 775, facebook 0
http://www.datasciencecentral.com/profiles/blogs/data-shinobi-3-the-shrines-the-deities:like 0,view 470, facebook 0
http://www.datasciencecentral.com/profiles/blogs/5-analytical-constructs-for-modelling-energy-prices:like 1,view 848, facebook 0
http://www.datasciencecentral.com/profiles/blogs/unsolicited-data-scientists-solving-your-problems-without-using-y:like 3,view 2379, facebook 0
http://www.datasciencecentral.com/profiles/blogs/colleges-should-pay-a-fine-when-students-default:like 0,view 323, facebook 0
http://www.datasciencecentral.com/profiles/blogs/three-fundamental-google-rules:like 0,view 2801, facebook 0
http://www.datasciencecentral.com/profiles/blogs/what-does-it-feel-like-to-be-the-ceo-of-a-start-up:like 0,view 578, facebook 0
http://www.datasciencecentral.com/profiles/blogs/causality-closet-nazis-and-the-metrics-of-criteria:like 0,view 331, facebook 0
http://www.datasciencecentral.com/profiles/blogs/data-analysis-to-data-science:like 13,view 4988, facebook 0
http://www.datasciencecentral.com/profiles/blogs/must-read-before-attending-any-data-science-interview:like 3,view 8005, facebook 0
http://www.datasciencecentral.com/profiles/blogs/weekly-digest-june-23:like 0,view 356, facebook 0
http://www.datasciencecentral.com/profiles/blogs/bring-intelligence-in-place:like 3,view 1572, facebook 0
http://www.datasciencecentral.com/profiles/blogs/22-non-statistical-questions-for-a-statistician:like 0,view 1445, facebook 0
http://www.datasciencecentral.com/profiles/blogs/success-factor-of-the-data-warehouse-and-business-intelligence:like 0,view 1064, facebook 0
http://www.datasciencecentral.com/profiles/blogs/data-science-summer-reading-list-2014:like 1,view 5334, facebook 0
http://www.datasciencecentral.com/profiles/blogs/weekly-digest-june-16:like 0,view 319, facebook 0
http://www.datasciencecentral.com/profiles/blogs/interview-with-prof-dr-bart-baesens-author-of-multiple-business-a:like 0,view 646, facebook 0
http://www.datasciencecentral.com/profiles/blogs/free-stuff-for-data-science-publishers-authors-bloggers-professor:like 2,view 1417, facebook 0
http://www.datasciencecentral.com/profiles/blogs/comprehensive-list-of-data-science-resources:like 2,view 2637, facebook 0
http://www.datasciencecentral.com/profiles/blogs/how-cross-pollination-helps-organizations-to-ideate-innovate:like 2,view 682, facebook 0
http://www.datasciencecentral.com/profiles/blogs/modelling-a-data-warehouse:like 1,view 1973, facebook 0
http://www.datasciencecentral.com/profiles/blogs/data-shinobi-2-the-tree-of-the-data-shinobi:like 0,view 1200, facebook 0
http://www.datasciencecentral.com/profiles/blogs/thresholds-butterflies-and-the-metrics-of-phenomena:like 2,view 309, facebook 0
http://www.datasciencecentral.com/profiles/blogs/about-the-curse-of-dimensionality:like 11,view 7013, facebook 0
http://www.datasciencecentral.com/profiles/blogs/a-tour-of-machine-learning-algorithms:like 13,view 16908, facebook 0
http://www.datasciencecentral.com/profiles/blogs/100-interesting-data-sets-for-statistics:like 0,view 4763, facebook 0
http://www.datasciencecentral.com/profiles/blogs/weekly-digest-june-9:like 0,view 676, facebook 0
http://www.datasciencecentral.com/profiles/blogs/nosql-newsql-database-adoption-2014:like 0,view 1426, facebook 0
http://www.datasciencecentral.com/profiles/blogs/great-data-challenge-factoring-the-product-of-two-large-primes:like 7,view 2978, facebook 0
http://www.datasciencecentral.com/profiles/blogs/30-great-articles-and-resources-from-top-news-outlets-updated-wee:like 1,view 1519, facebook 0
http://www.datasciencecentral.com/profiles/blogs/40-maps-that-explain-the-internet:like 1,view 2228, facebook 0
http://www.datasciencecentral.com/profiles/blogs/data-science-has-been-using-rebel-statistics-for-a-long-time:like 11,view 6615, facebook 0
http://www.datasciencecentral.com/profiles/blogs/data-shinobi-1-the-fundamentals:like 2,view 1150, facebook 0
http://www.datasciencecentral.com/profiles/blogs/the-data-science-research-center:like 3,view 1835, facebook 0
http://www.datasciencecentral.com/profiles/blogs/4-things-to-do-with-customer-data:like 1,view 1339, facebook 0
http://www.datasciencecentral.com/profiles/blogs/doing-data-science-straight-talk-from-the-frontline-by-cathy-o:like 0,view 606, facebook 0
http://www.datasciencecentral.com/profiles/blogs/roadblocks-to-using-big-data-first-mile-and-last-mile-challenges:like 1,view 522, facebook 0
http://www.datasciencecentral.com/profiles/blogs/dimensional-modelling:like 1,view 1403, facebook 0
http://www.datasciencecentral.com/profiles/blogs/new-batch-of-23-great-articles-and-resources:like 2,view 5853, facebook 0
http://www.datasciencecentral.com/profiles/blogs/weekly-digest-june-2:like 0,view 428, facebook 0
http://www.datasciencecentral.com/profiles/blogs/2014-salaries-for-data-professionals-data-scientists-top-pay:like 3,view 1094, facebook 0
http://www.datasciencecentral.com/profiles/blogs/list-of-nosql-databases:like 1,view 2044, facebook 0
http://www.datasciencecentral.com/profiles/blogs/three-interesting-but-little-known-programming-languages:like 1,view 3813, facebook 0
http://www.datasciencecentral.com/profiles/blogs/5-key-big-data-challenges-in-banking-industry:like 3,view 2462, facebook 0
http://www.datasciencecentral.com/profiles/blogs/being-a-data-scientist-in-a-small-country-challenges-and-solution:like 3,view 2227, facebook 0
http://www.datasciencecentral.com/profiles/blogs/the-10-algorithms-that-dominate-our-world:like 4,view 4852, facebook 0
http://www.datasciencecentral.com/profiles/blogs/geography-of-data-restoring-the-transpositional:like 0,view 322, facebook 0
http://www.datasciencecentral.com/profiles/blogs/77-people-who-truly-have-written-interesting-things-about-data:like 1,view 2662, facebook 0
http://www.datasciencecentral.com/profiles/blogs/top-three-business-benefits-from-big-data:like 1,view 954, facebook 0
http://www.datasciencecentral.com/profiles/blogs/continuing-along-the-path-of-data-science:like 2,view 1247, facebook 0
http://www.datasciencecentral.com/profiles/blogs/starting-down-the-path-of-data-science:like 8,view 4587, facebook 0
http://www.datasciencecentral.com/profiles/blogs/tutorial-how-to-detect-spurious-correlations-and-how-to-find-the-:like 11,view 36727, facebook 0
http://www.datasciencecentral.com/profiles/blogs/are-you-data-literate-education-for-the-information-economy:like 0,view 718, facebook 0
http://www.datasciencecentral.com/profiles/blogs/a-quick-introduction:like 0,view 146, facebook 0
http://www.datasciencecentral.com/profiles/blogs/acronyms-of-big-data-analytics-from-a-to-z:like 0,view 1652, facebook 0
http://www.datasciencecentral.com/profiles/blogs/weekly-digest-may-26:like 1,view 561, facebook 0
http://www.datasciencecentral.com/profiles/blogs/50-big-data-companies-to-follow:like 1,view 4892, facebook 0
http://www.datasciencecentral.com/profiles/blogs/research-brief-four-functional-clusters-of-analytics:like 4,view 2838, facebook 0
http://www.datasciencecentral.com/profiles/blogs/data-warehouse-architecture:like 1,view 4162, facebook 0
http://www.datasciencecentral.com/profiles/blogs/automatic-identification-of-replicated-criminal-websites-using:like 0,view 2110, facebook 0
http://www.datasciencecentral.com/profiles/blogs/proposal-for-a-new-type-of-scoring-system:like 0,view 990, facebook 0
http://www.datasciencecentral.com/profiles/blogs/r-as-ad-hoc:like 1,view 200, facebook 0
http://www.datasciencecentral.com/profiles/blogs/biggest-potential-for-big-data-the-expanding-universe-of-unknown:like 0,view 825, facebook 0
http://www.datasciencecentral.com/profiles/blogs/7-articles-worth-reading:like 0,view 2259, facebook 0
http://www.datasciencecentral.com/profiles/blogs/reduce-operational-costs-and-improve-data-driven-decision-making:like 0,view 273, facebook 0
http://www.datasciencecentral.com/profiles/blogs/weekly-digest-may-19:like 0,view 1212, facebook 0
http://www.datasciencecentral.com/profiles/blogs/50-free-copies-of-data-science-book-signed-by-the-author-get-your:like 2,view 3026, facebook 0
http://www.datasciencecentral.com/profiles/blogs/weekly-digest-may-12:like 0,view 674, facebook 0
http://www.datasciencecentral.com/profiles/blogs/the-science-news-cycle:like 0,view 616, facebook 0
http://www.datasciencecentral.com/profiles/blogs/employee-churn-202-good-and-bad-churn:like 0,view 721, facebook 0
http://www.datasciencecentral.com/profiles/blogs/bad-data-science-and-woody-allen:like 2,view 1282, facebook 0
http://www.datasciencecentral.com/profiles/blogs/business-intelligence-architecture:like 1,view 1285, facebook 0
http://www.datasciencecentral.com/profiles/blogs/addition-of-different-dimensions-to-data:like 1,view 448, facebook 0
http://www.datasciencecentral.com/profiles/blogs/ipad-program-let-s-you-touch-your-data:like 0,view 1243, facebook 0
http://www.datasciencecentral.com/profiles/blogs/data-analytics-in-government:like 1,view 739, facebook 0
http://www.datasciencecentral.com/profiles/blogs/gui-software-for-database-performance-management:like 0,view 62, facebook 0
